2023 Rank,Municipality,Designation,Primary County,2023 Estimate,2020 Census
188.0,Mineral Wells,City,Palo Pinto,14820.0,428.0
189.0,Uvalde,City,Uvalde,15217.0,144.0
190.0,Lockhart,City,Caldwell,14379.0,653.0
191.0,Rio Grande City,City,Starr,15317.0,4.0
192.0,Iowa Colony,Village,Brazoria,8154.0,8179.0
193.0,West University Place,City,Harris,14955.0,110.0
194.0,Hereford,City,Deaf Smith,14972.0,147.0
195.0,Hidalgo,City,Hidalgo,13964.0,511.0
196.0,Azle,City,Tarrant,13369.0,892.0
197.0,Jacksonville,City,Cherokee,13997.0,302.0
198.0,Dumas,City,Moore,14501.0,145.0
199.0,Tomball,City,Harris,12341.0,1507.0
200.0,Forest Hill,City,Tarrant,13955.0,145.0
201.0,Lumberton,City,Hardin,13554.0,424.0
202.0,Trophy Club,Town,Denton,13688.0,16.0
203.0,Seabrook,City,Harris,13618.0,32.0
204.0,Port Neches,City,Jefferson,13692.0,74.0
205.0,Kilgore,City,Gregg,13376.0,110.0
206.0,Athens,City,Henderson,12857.0,502.0
207.0,Andrews,City,Andrews,13487.0,11.0
208.0,Henderson,City,Rusk,13271.0,145.0
209.0,Beeville,City,Bee,13669.0,335.0
210.0,Robinson,City,McLennan,12443.0,437.0
211.0,Santa Fe,City,Galveston,12735.0,192.0
212.0,Richmond,City,Fort Bend,11627.0,1023.0
213.0,Granbury,City,Hood,10958.0,1519.0
214.0,Levelland,City,Hockley,12652.0,96.0
215.0,Elgin,City,Bastrop,9784.0,2576.0
216.0,Webster,City,Harris,12499.0,254.0
217.0,Borger,City,Hutchinson,12551.0,347.0
218.0,El Campo,City,Wharton,12350.0,233.0
219.0,Selma,City,Guadalupe,10952.0,727.0
220.0,Bastrop,City,Bastrop,9688.0,2055.0
221.0,Roma,City,Starr,11561.0,6.0
222.0,Fredericksburg,City,Gillespie,10875.0,613.0
223.0,Fair Oaks Ranch,City,Bexar,9833.0,1600.0
224.0,Leon Valley,City,Bexar,11542.0,178.0
225.0,Heath,City,Rockwall,9769.0,1504.0
226.0,Port Lavaca,City,Calhoun,11557.0,299.0
227.0,Pleasanton,City,Atascosa,10648.0,514.0
228.0,Snyder,City,Scurry,11438.0,219.0
229.0,Burkburnett,City,Wichita,10939.0,137.0
230.0,Rockport,City,Aransas,10070.0,853.0
231.0,Bonham,City,Fannin,10408.0,453.0
232.0,Roanoke,City,Denton,9665.0,1172.0
233.0,Fairview,Town,Collin,10372.0,403.0
234.0,Clute,City,Brazoria,10604.0,94.0
235.0,Bellmead,City,McLennan,10494.0,120.0
236.0,Freeport,City,Brazoria,10696.0,136.0
237.0,Liberty Hill,City,Williamson,3646.0,18601.0
238.0,Robstown,City,Nueces,10143.0,189.0
239.0,Sweetwater,City,Nolan,10622.0,317.0
240.0,Galena Park,City,Harris,10740.0,437.0
241.0,San Elizario,City,El Paso,10116.0,47.0
242.0,Ingleside,City,San Patricio,9519.0,660.0
243.0,Raymondville,City,Willacy,10236.0,99.0
244.0,Kennedale,City,Tarrant,8517.0,1802.0
245.0,Lago Vista,City,Travis,8896.0,1251.0
246.0,Pecos,City,Reeves,12916.0,2285.0
247.0,Helotes,City,Bexar,9030.0,1021.0
248.0,Sanger,City,Denton,8839.0,1122.0
249.0,Vernon,City,Wilbarger,10078.0,288.0
250.0,Vidor,City,Orange,9789.0,52.0
251.0,Dayton,City,Liberty,8777.0,1044.0
252.0,Woodway,City,McLennan,9383.0,317.0
253.0,Bridge City,City,Orange,9546.0,126.0
254.0,Mont Belvieu,City,Chambers,7654.0,2553.0
255.0,Whitehouse,City,Smith,8257.0,1591.0
256.0,Commerce,City,Hunt,9090.0,415.0
257.0,Northlake,Town,Denton,5201.0,8175.0
258.0,Jacinto City,City,Harris,9613.0,370.0
259.0,Kaufman,City,Kaufman,6797.0,3537.0
260.0,Providence Village,Town,Denton,7691.0,1902.0
261.0,Cleveland,City,Liberty,7471.0,2198.0
262.0,Navasota,City,Grimes,7643.0,1735.0
263.0,Pearsall,City,Frio,7325.0,2213.0
264.0,Aransas Pass,City,Nueces,7941.0,1237.0
265.0,Joshua,City,Johnson,7891.0,1280.0
266.0,Graham,City,Young,8732.0,100.0
267.0,Hondo,City,Medina,8289.0,600.0
268.0,Liberty,City,Liberty,8279.0,598.0
269.0,Wharton,City,Wharton,8627.0,133.0
270.0,Hillsboro,City,Hill,8221.0,586.0
271.0,Dripping Springs,City,Hays,4650.0,8686.0
272.0,Brownfield,City,Terry,8936.0,318.0
273.0,Highland Park,Town,Dallas,8864.0,250.0
274.0,Lucas,City,Collin,7612.0,1353.0
275.0,Bee Cave,City,Travis,9144.0,572.0
276.0,Sunnyvale,Town,Dallas,7893.0,751.0
277.0,Prairie View,City,Waller,8184.0,360.0
278.0,Los Fresnos,City,Cameron,8114.0,306.0
279.0,Dalhart,City,Dallam,8447.0,111.0
280.0,Richland Hills,City,Tarrant,8621.0,346.0
281.0,Floresville,City,Wilson,7203.0,1531.0
282.0,Aubrey,City,Denton,5006.0,6514.0
283.0,Lamesa,City,Dawson,8674.0,470.0
284.0,Perryton,City,Ochiltree,8492.0,321.0
285.0,Cuero,City,DeWitt,8128.0,94.0
286.0,Fort Stockton,City,Pecos,8466.0,417.0
287.0,Kirby,City,Bexar,8142.0,127.0
288.0,Decatur,City,Wise,6538.0,2261.0
289.0,Lake Dallas,City,Denton,7708.0,271.0
290.0,Lampasas,City,Lampasas,7291.0,774.0
291.0,Hitchcock,City,Galveston,7301.0,560.0
292.0,Jersey Village,City,Harris,7921.0,338.0
293.0,Marble Falls,City,Burnet,7037.0,762.0
294.0,Venus,City,Johnson,4361.0,7262.0
295.0,Lavon,City,Collin,4469.0,6771.0
296.0,Jasper,City,Jasper,6884.0,851.0
297.0,Alamo Heights,City,Bexar,7357.0,148.0
298.0,River Oaks,City,Tarrant,7646.0,361.0
299.0,Monahans,City,Ward,7836.0,670.0
300.0,Lacy-Lakeview,City,McLennan,6988.0,459.0
301.0,Wolfforth,City,Lubbock,5521.0,3146.0
302.0,Sealy,City,Austin,6839.0,591.0
303.0,Seminole,City,Gaines,6988.0,348.0
304.0,Gonzales,City,Gonzales,7165.0,78.0
305.0,Josephine,City,Collin,2119.0,23568.0
306.0,Nolanville,City,Bell,5917.0,1847.0
307.0,Bulverde,City,Comal,5692.0,2245.0
308.0,Willis,City,Montgomery,6431.0,829.0
309.0,Burnet,City,Burnet,6436.0,783.0
310.0,Lindale,City,Smith,6059.0,1426.0
311.0,Keene,City,Johnson,6387.0,741.0
312.0,Mexia,City,Limestone,6893.0,49.0
313.0,Gun Barrel City,City,Henderson,6190.0,1024.0
314.0,Van Alstyne,City,Grayson,4369.0,5523.0
315.0,Silsbee,City,Hardin,6935.0,231.0
316.0,La Feria,City,Cameron,6817.0,87.0
